	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000124104	0.321482019	0	0.24804439	0	0.514137233	1
ENSG00000101473	2.6608452	2.3009863	2.0844467	0.36720917	1.330469533	5
ENSG00000168612	3.3490052	2.0858202	2.671499	0.9751481	1.487197067	5
ENSG00000064601	2.860119667	2.6904957	3.702906	3.340231	3.720617133	6
ENSG00000271984	3.486616333	3.5208254	4.349025	4.705923	4.154081333	6
ENSG00000100982	5.177353333	5.2472653	5.281882	3.1634903	3.1727263	4
ENSG00000198026	3.1160804	3.272163	3.4764032	2.005383	1.4602863	4
ENSG00000100985	3.922561567	1.7007166	2.7734084	7.6387844	4.5461162	6
ENSG00000124160	4.1247951	2.6325374	2.8356552	3.7121944	1.579944367	3
ENSG00000080189	3.2165615	3.5095801	3.2358253	2.612674	1.541481833	4
ENSG00000062598	3.5640046	3.1283438	3.7559896	4.2083488	2.534757667	3
ENSG00000172315	2.1271222	0.6640656	1.4247141	1.7243867	0.536864773	1
ENSG00000101040	2.7607675	0.7543334	2.2594798	4.2564282	1.5513618	7
ENSG00000124151	2.626585167	0.35903195	2.3120744	4.6683526	2.389084667	7
ENSG00000124126	3.185199467	2.9598436	4.397304	5.5246754	4.533420933	6
ENSG00000124198	2.805005233	1.1701852	2.3537803	2.7375054	0.935646733	3
ENSG00000124207	3.406747433	0	1.6073005	4.0754237	1.2137717	7
ENSG00000124214	4.481913333	2.0866072	3.1250374	4.3011	2.917354	1
ENSG00000124228	2.8547372	1.513779	2.1084082	2.6889226	1.4060951	1
ENSG00000124201	2.651943833	1.3479301	2.5709627	4.4859085	3.1616624	6
ENSG00000177410	3.179738533	0.9724786	2.1828547	2.9720285	2.4427608	1
ENSG00000158470	3.232415833	0.47144178	2.1020648	7.5314813	3.343885733	6
ENSG00000197818	1.797384	1.7658291	2.430594	3.302162	1.963493867	6
ENSG00000158480	2.2494564	2.2829404	3.0899487	1.7213987	1.465644333	4
ENSG00000124226	4.207506533	2.613127	3.1411197	2.9259167	2.355196767	2
ENSG00000244687	2.615445167	0.7311194	2.2500353	2.4786632	0.44222852	3
ENSG00000124208	5.3203489	3.9933846	4.7124534	5.480063	3.411108033	3
ENSG00000240849	2.836370333	1.6756424	2.1405818	0.31392333	0.798747	5
ENSG00000172216	3.131484167	3.1092744	4.001849	2.4589295	5.053898733	4
ENSG00000224397	1.347567253	2.8562818	2.990218	3.1760435	3.9457904	6
ENSG00000196396	4.588062167	3.3004742	4.3676515	5.458254	3.163880467	3
ENSG00000124243	0.30026545	0	0.001989499	0	0	2
ENSG00000101126	4.6100858	0.71715176	2.5185819	4.1954875	1.9283489	1
ENSG00000000419	2.598745667	1.8650405	2.6433277	4.4357758	2.133473567	7
ENSG00000124217	0.38423281	0	0.25798324	0	0.023416077	2
ENSG00000101096	2.4707474	2.6928265	3.0763435	2.5595417	1.604746233	4
ENSG00000171940	4.224514867	1.8846376	3.3893337	5.0753584	3.3447062	7
