GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000127314	3.31	2.67	3.19	3.39	3.27
ENSG00000173451	4.36	5.57	5.42	5.23	3.58
ENSG00000139289	4.27	4.26	4.11	3.81	3.55
ENSG00000102189	2.99	3.84	2.84	3.32	1.79
ENSG00000139344	4.12	4.55	4.24	4.77	4.64
ENSG00000204852	2.86	3.36	2.62	3.35	2.5
ENSG00000089248	2.91	0.96	1.13	0.6	2.06
ENSG00000256028	2.57	2.26	2.68	2.65	1.11
ENSG00000182196	3.37	3.33	3.32	2.96	2.4
ENSG00000177169	4.36	4.46	3.77	4.22	3.79
ENSG00000090612	1.4	1.82	2.07	1.82	0.23
ENSG00000180776	2.16	1.44	1.76	2	2.71
ENSG00000244754	1.76	1.97	2.06	2.78	2.18
ENSG00000083642	2.37	2.63	1.67	1.71	1.44
ENSG00000120686	4.53	4.82	4.18	5.21	4.6
ENSG00000133103	2.27	2.8	1.73	1.64	2.28
ENSG00000273149	3.37	4.44	2.97	4.92	4
ENSG00000123200	1.6	2.5	3.52	3.61	0.26
ENSG00000270181	2.67	3.42	2.83	3.25	2.45
ENSG00000134884	4.39	3.44	3.85	3.82	1.64
ENSG00000136319	3.18	2.28	3.64	4.58	3.92
ENSG00000129562	3.51	4.77	3.85	4.32	4.42
ENSG00000215271	2	3.71	2.73	2.63	2.39
ENSG00000129515	3.87	4.87	3.97	4.26	4.2
ENSG00000151338	4.02	4.09	3.46	4.46	4.52
ENSG00000179454	2.92	3.58	4.49	4.33	2.35
ENSG00000165525	2.42	4.07	2.85	3.6	2.85
ENSG00000100519	2.64	2.41	3.03	3.36	2.01
ENSG00000197045	3.33	4.31	3.27	3.85	3.52
ENSG00000100578	1.64	4	2.42	2.15	1.34
ENSG00000009830	2.79	3.18	3.07	3.36	0.84
ENSG00000100722	1.32	2.19	1.82	2.11	2.49
ENSG00000100784	2.06	2.7	1.41	1.95	2.08
ENSG00000100815	1	0	0.45	1.17	0.55
ENSG00000183648	2.33	1.8	1.84	2.9	2.11
ENSG00000276550	2.74	3.31	3	2.89	2.69
ENSG00000280234	2.78	3.92	2.66	2.7	2.08
ENSG00000279417	3.17	3.72	2.55	3.22	3.45
ENSG00000169926	2.32	1.47	2.04	1.95	1.61
ENSG00000248905	2.54	2.98	2.54	3.08	2.99
ENSG00000259380	4.86	4.22	4.01	4.64	4.16
ENSG00000140323	3.87	2.86	3.16	4.38	3.55
ENSG00000137812	1.23	1.95	1.63	1.76	0
ENSG00000159433	4.56	2.45	2.65	3.33	2.72
ENSG00000159459	2.45	4.1	3.44	3.22	2.31
ENSG00000140264	0	0.86	0	0	0
ENSG00000104131	2.77	3.29	2.26	3.5	2.48
ENSG00000104164	0.92	2.43	2.11	0	0.89
ENSG00000166200	4.01	5.4	6.22	6.27	2.47
ENSG00000137776	0	0	0	0	0
ENSG00000166839	0.96	2.45	1.33	0.87	1.78
ENSG00000273025	3.42	4.07	2.46	3.16	2.98
ENSG00000261423	1.05	3.09	1.3	1.43	0.89
ENSG00000140398	4.04	1.95	2.74	3.27	4.13
ENSG00000260274	4.57	5.26	4.81	6.35	5.7
ENSG00000167196	2.09	2.62	2.16	3.56	3.46
ENSG00000185787	2.06	3.8	1.93	2.29	3.19
ENSG00000156218	1.27	2.64	1.77	2.11	0.72
