entry	name	definition	c_number	r_number
M00569	Catechol_meta_cleavage_catechol_acetyl_CoA_4_methylcatechol_propanoyl_CoA	K00446;K07104;K10217;K01821;K01617;K10216;K18364;K02554;K18365;K01666;K18366;K04073	C03589;C00100;C06760;C00090;C00022;C06730;C02501;C11354;C06762;C07478;C00479;C00682;C03453;C07479;C00084;C00024;C00596	R05298;R02762;R03966;R02604;R05374;R09097;R02602;R00228;R05864;R05353;R05865;R05295;R05389;R00816;R00750;R02601
M00570	Isoleucine_biosynthesis_threonine_2_oxobutanoate_isoleucine	K17989;K01754;K01652;K01653;K11258;K00053;K01687;K00826	C00671;C14463;C00407;C06007;C00109;C06006;C00188	R05070;R08648;R02199;R05069;R00996;R05068
M00572	Pimeloyl_ACP_biosynthesis_BioC_BioH_pathway_malonyl_ACP_pimeloyl_ACP	K02169;K00647;K09458;K00059;K02372;K00208;K02170;K09789;K19560;K19561	C19846;C20374;C20377;C20375;C20376;C20373;C20372;C19845;C01209;C20378;C19673	R10120;R10119;R10118;R10115;R10116;R10122;R09543;R10117;R10121;R09725
M00573	Biotin_biosynthesis_BioI_pathway_long_chain_acyl_ACP_pimeloyl_ACP_biotin	K16593;K00652;K19563;K01935;K01012	C01037;C01092;C00120;C01909;C19845;C20683	R10124;R01078;R03182;R10699;R10123
M00577	Biotin_biosynthesis_BioW_pathway_pimelate_pimeloyl_CoA_biotin	K01906;K00652;K00833;K19563;K01935;K01012	C01037;C01092;C00120;C01909;C01063;C02656	R03210;R03209;R01078;R03182;R10699;R03231
M00579	Phosphate_acetyltransferase_acetate_kinase_pathway_acetyl_CoA_acetate	K00625;K13788;K15024;K00925	C00033;C00227;C00024	R00230;R00315
M00580	Pentose_phosphate_pathway_archaea_fructose_6P_ribose_5P	K08094;K08093;K13812;K13831;K01807	C00117;C00085;C00199;C06019	R01056;R05338;R05339
M00595	Thiosulfate_oxidation_by_SOX_complex_thiosulfate_sulfate	K17222;K17223;K17224;K17225;K22622;K17226;K17227	C00320;C00059	R10151
M00596	Dissimilatory_sulfate_reduction_sulfate_H2S	K00958;K00394;K00395;K11180;K11181;K27196;K27187;K27188;K27189;K27190;K27191	C00094;C00059;C00283;C00224;C22834	R00529;R00861;R13227;R08553
M00608	2_Oxocarboxylic_acid_chain_extension_2_oxoglutarate_2_oxoadipate_2_oxopimelate_2_oxosuberate	K10977;K16792;K16793;K10978	C05662;C00026;C01251;C16598;C04002;C20582;C16600;C20581;C16597;C16588;C16589;C00322;C16583;C00024	R08332;R10393;R10392;R08215;R08214;R10395;R10391;R10396;R00271;R01934;R04371;R10394;R08331;R09720;R03444
M00609	Cysteine_biosynthesis_methionine_cysteine	K00789;K17462;K01243;K07173;K17216;K17217	C00073;C00097;C00021;C00155;C03539;C00019;C02291	R00194;R00177;R01291;R10305;R01001;R10404
M00620	Incomplete_reductive_citrate_cycle_acetyl_CoA_oxoglutarate	K00169;K00170;K00171;K00172;K01959;K01960;K00024;K01677;K01678;K18209;K18210;K01902;K01903;K00174;K00175;K00176;K00177	C00036;C00022;C00042;C00026;C00122;C00091;C00149;C00024	R00344;R00342;R01196;R00405;R01197;R01082;R10660
M00621	Glycine_cleavage_system	K00281;K00282;K00283;K00605;K00382	C02972;C01242;C02051;C00011;C00037;C00014;C00143;C00101	R04125;R03425;R03815;R01221
M00622	Nicotinate_degradation_nicotinate_fumarate	K18029;K18030;K14974;K18028;K15357;K13995;K01799	C01059;C00253;C01020;C00122;C01384;C01596;C18232	R03540;R09125;R08764;R01087;R09126;R09473
M00623	Phthalate_degradation_phthalate_protocatechuate	K18068;K18069;K18067;K04102	C01606;C03233;C04783;C00230	R03630;R01635;R05275
M00624	Terephthalate_degradation_terephthalate_3_4_dihydroxybenzoate	K18074;K18075;K18077;K18076	C00230;C06318;C06337	R05148;R01633
M00630	D_Galacturonate_degradation_fungi_D_galacturonate_glycerol	K18106;K19634;K18102;K18103;K18107	C20680;C15930;C00333;C00116;C02426	R10550;R10563;R10565;R10532;R07676
M00631	D_Galacturonate_degradation_bacteria_D_galacturonate_pyruvate_D_glyceraldehyde_3P	K01812;K00041;K01685;K16849;K16850;K00874;K01625;K17463	C00022;C00333;C00558;C00118;C00817;C00204;C04442	R01541;R01983;R01540;R02555;R05605
M00632	Galactose_degradation_Leloir_pathway_galactose_alpha_D_glucose_1P	K01785;K00849;K00965;K01784	C00029;C00446;C00124;C00052;C00103;C00984	R01092;R10619;R00291;R00955
M00633	Semi_phosphorylative_Entner_Doudoroff_pathway_gluconate_galactonate_glycerate_3P	K05308;K18126;K11395;K18978	C00022;C00257;C00197;C00118;C00880;C00204;C01286;C04442;C01216	R01541;R01058;R10860;R03387;R03033;R01538;R01064;R05605
M00636	Phthalate_degradation_phthalate_protocatechuate	K18251;K18252;K18253;K18254;K18255;K18256	C18314;C01606;C03223;C00230	R09228;R01634;R09227
M00637	Anthranilate_degradation_anthranilate_catechol	K05599;K05600;K11311;K16319;K16320;K18248;K18249	C00108;C00090	R00823;R00825
M00638	Salicylate_degradation_salicylate_gentisate	K18242;K18243;K14578;K14581	C00805;C00628	R07709;R07710
M00661	Paspaline_biosynthesis_geranylgeranyl_PP_indoleglycerol_phosphate_paspaline	K18385;K18386;K18387	C20530;C20529;C00353;C20527;C20525;C20526;C03506	R10352;R10350;R10351;R10349;R10353
M00672	Penicillin_biosynthesis_aminoadipate_cycteine_valine_penicillin	K12743;K04126;K10852	C00097;C05557;C05556;C00183;C00956;C00395	R04870;R04872;R06361
M00673	Cephamycin_C_biosynthesis_aminoadipate_cycteine_valine_cephamycin_C	K12743;K04126;K04127;K12744;K12745;K04128;K18062;K18063	C03112;C00097;C05557;C05556;C06564;C06566;C06565;C00183;C00956;C06568;C06569	R04870;R05229;R05303;R04872;R05301;R05230;R05302;R04147
M00674	Clavaminate_biosynthesis_arginine_glyceraldehyde_3P_clavaminate	K12673;K12674;K12675;K12676	C06655;C06657;C00062;C06660;C00118;C06658;C06659;C06656	R05466;R05465;R05468;R05357;R05467;R05469
M00675	Carbapenem_3_carboxylate_biosynthesis_pyrroline_5_carboxylate_malonyl_CoA_carbapenem_3_carboxylate	K18317;K18316;K18315	C17367;C00083;C03912;C06669;C17366	R10415;R10556;R10485
M00736	Nocardicin_A_biosynthesis_L_pHPG_arginine_serine_nocardicin_A	K19102;K19103;K05375;K19104;K19105;K19106	C00062;C17351;C01739;C00927;C00065;C12323;C17352;C01941;C17355	R10881;R03072;R10883;R03073;R10903;R10882;R10880
M00740	Methylaspartate_cycle	K01647;K01681;K00031;K00261;K19268;K01846;K04835;K19280;K14449;K19281;K19282;K00024	C00036;C00025;C00026;C06027;C04348;C00048;C06028;C01732;C00158;C05379;C00417;C03618;C00149;C00024;C00311	R00262;R00342;R00268;R00934;R00351;R01325;R05076;R10904;R00473;R01899;R01900;R00248;R03696;R10612
M00741	Propanoyl_CoA_metabolism_propanoyl_CoA_succinyl_CoA	K01965;K01966;K11263;K18472;K19312;K22568;K01964;K15036;K15037;K05606;K01847;K01848;K01849	C00100;C00091;C01213;C00683	R00833;R01859;R02765
M00761	Undecaprenylphosphate_alpha_L_Ara4N_biosynthesis_UDP_GlcA_undecaprenyl_phosphate_alpha_L_Ara4N	K10011;K07806;K10012;K13014	C16157;C16156;C16153;C00167;C16154;C16155	R07660;R07661;R07662;R07658;R07659
M00763	Ornithine_biosynthesis_mediated_by_LysW_glutamate_ornithine	K05826;K19412;K05828;K05829;K05830;K05831	C20949;C00077;C20948;C20951;C00025;C20950	R10929;R10930;R10933;R10932;R10931
M00773	Tylosin_biosynthesis_methylmalonyl_CoA_malonyl_CoA_tylactone_tylosin	K15988;K24555;K24556;K24557;K24558;K15989;K15990;K15992;K15991;K15993;K15994;K15995;K15996	C12003;C02557;C00083;C12001;C12002;C02400;C12000;C20760;C00744;C01457	R06449;R06450;R10656;R02858;R06451;R06452;R02859;R06448
M00774	Erythromycin_biosynthesis_propanoyl_CoA_methylmalonyl_CoA_deoxyerythronolide_B_erythromycin_A_B	K10817;K24563;K24564;K14366;K14367;K14368;K15997;K14370;K14369	C00100;C06630;C06633;C06635;C06616;C03240;C01912;C06653;C00683	R05520;R05270;R00918;R05530;R05531;R05532;R05522
M00775	Oleandomycin_biosynthesis_malonyl_CoA_methylmalonyl_CoA_8_8a_deoxyoleandolide_oleandomycin	K16007;K24565;K24566;K16008;K16009;K13320;K16010	C11992;C02557;C00083;C11990;C11991;C11989;C01946	R06454;R06453;R06456;R06455;R06457
M00776	Pikromycin_methymycin_biosynthesis_methylmalonyl_CoA_malonyl_CoA_narbonolide_10_deoxymethynolide_pikromycin_methymycin	K16000;K16001;K16002;K16003;K16004;K16005;K16006	C00083;C11994;C11993;C11998;C00683;C11996;C11997;C11999	R06459;R06461;R06463;R06464;R06460;R06458
M00777	Avermectin_biosynthesis_2_methylbutanoyl_CoA_isobutyryl_CoA_6_8a_Seco_6_8a_deoxy_5_oxoavermectin_1a_1b_aglycone_avermectin_A1a_B1a_A1b_B1b	K14371;K24567;K24568;K24569;K14372;K14373;K14374;K14375	C11963;C11978;C11965;C11964;C11968;C11962;C11983;C11982;C11984;C11961;C11977;C00630;C11979;C11967;C11966;C11980;C01033;C11981	R06491;R06496;R06490;R06483;R06475;R06499;R06473;R06488;R06498;R06470;R06497;R06467;R06481;R06477;R06489;R06479
M00778	Type_II_polyketide_backbone_biosynthesis_acyl_CoA_malonyl_CoA_polyketide	K05551;K05552;K05553;K12420;K05554;K14249;K15884;K15885;K05555;K14250;K15886	C18294;C12354;C18629;C18331;C21430;C12442;C18709;C00083;C18329;C18293;C18330;C18336;C18327;C18332;C18328;C12441;C18337;C18353;C12348	R09187;R06643;R09325;R09350;R09259;R09269;R09263;R09265;R09188;R06642;R11516;R09266;R09305;R09262;R09268;R09258;R09260
M00779	Dihydrokalafungin_biosynthesis_octaketide_dihydrokalafungin	K05556;K14626;K14627;K14628;K14629;K14630;K14631;K14632	C18356;C18353;C18354;C12435;C12436;C12434	R06696;R05705;R06695;R09306;R09308;R09314;R09307
M00780	Tetracycline_oxytetracycline_biosynthesis_pretetramide_tetracycline_oxytetracycline	K14251;K14252;K14253;K14254;K14255;K14256;K21301	C06629;C03206;C18295;C06624;C06627;C18296;C06628;C02811;C06654;C06570	R09198;R09191;R05462;R09189;R04060;R05459;R09190;R05463;R09192;R09197
M00781	Nogalavinone_aklavinone_biosynthesis_deoxynogalonate_deoxyaklanonate_nogalavinone_aklavinone	K15941;K15942;K15943;K15944	C18630;C12424;C12421;C18629;C12415;C12416;C18631;C12422;C12423;C12420	R09328;R06675;R06682;R06680;R06681;R06679;R09329;R09327
M00782	Mithramycin_biosynthesis_4_demethylpremithramycinone_mithramycin	K15959;K15960;K15961;K15963;K15964;K15965;K15966;K15967	C18710;C12388;C12382;C12383;C18711;C12385;C12387;C12389;C12384;C12386	R06718;R09353;R06717;R06716;R06715;R09351;R09352;R09354;R06719
M00783	Tetracenomycin_C_8_demethyltetracenomycin_C_biosynthesis_tetracenomycin_F2_tetracenomycin_C_8_demethyltetracenomycin_C	K15968;K15969;K15886;K15970;K15971;K15972	C12378;C12371;C12379;C12369;C06801;C12370;C12368;C12366;C12367	R10954;R06704;R06702;R06713;R06700;R06699;R06701;R06703
M00784	Elloramycin_biosynthesis_8_demethyltetracenomycin_C_elloramycin_A	K19566;K19567;K19568;K19569;K19570	C12379;C20977;C12381;C20975;C20974;C20976	R10959;R10957;R10958;R10956;R10955
M00785	Cycloserine_biosynthesis_arginine_serine_cycloserine	K19741;K19723;K19726;K19725;K19724;K19727	C00077;C20651;C00062;C07044;C00065;C20639;C05933;C08057;C00979	R00586;R10466;R11033;R10488;R10470;R10461
M00786	Fumitremorgin_alkaloid_biosynthesis_tryptophan_proline_fumitremorgin_C_A	K18281;K14132;K17475;K18280;K17827;K17826;K14134;K17825;K18279	C20045;C20512;C20563;C20604;C20607;C20564;C20513;C00078;C00148;C20605;C20630	R10340;R10321;R10445;R10457;R10341;R10416;R10414;R10661;R10588
M00787	Bacilysin_biosynthesis_prephenate_bacilysin	K19546;K19547;K19550;K19549;K19548;K13037	C00254;C21085;C21087;C20940;C21086;C20941;C20953;C20942	R11068;R11066;R11067;R11064;R10934;R10917;R11065
M00788	Terpentecin_biosynthesis_GGAP_terpentecin	K19835;K19834	C21093;C19814;C19815;C00353	R09684;R11069;R09714
M00789	Rebeccamycin_biosynthesis_tryptophan_rebeccamycin	K14266;K19884;K19885;K19886;K19887;K19888;K19889	C19698;C19700;C19699;C19687;C19701;C00078;C19688	R09567;R09566;R09569;R09570;R09560;R09568
M00790	Pyrrolnitrin_biosynthesis_tryptophan_pyrrolnitrin	K14266;K19981;K14257;K19982	C12491;C19687;C21110;C00078;C21109	R11105;R09570;R11107;R11106
M00793	dTDP_L_rhamnose_biosynthesis	K00973;K01710;K01790;K00067;K23987	C03319;C00103;C00688;C00842;C11907	R06513;R02777;R06514;R02328
M00794	dTDP_6_deoxy_D_allose_biosynthesis	K13312;K13313	C11912;C11907;C11926	R06438;R10573;R06437
M00795	dTDP_beta_L_noviose_biosynthesis	K19855;K12710;K17625	C11460;C12481;C11907;C11926	R10459;R06437;R11020
M00796	dTDP_D_mycaminose_biosynthesis	K19853;K19854;K13307	C11925;C11933;C11907;C11908	R06423;R06424;R06439
M00797	dTDP_D_desosamine_biosynthesis	K13308;K13309;K13310;K16436;K13311;K13326	C11911;C11910;C04268;C11909;C11907	R06427;R02773;R08583;R06426
M00798	dTDP_L_mycarose_biosynthesis	K16435;K13315;K13317;K13316;K16438;K13318	C06620;C11928;C11916;C11915;C18035;C11907	R11051;R08933;R05518;R08934;R06436
M00799	dTDP_L_oleandrose_biosynthesis	K16435;K13315;K16438;K19856;K19857	C06620;C11928;C21071;C11927;C11921;C11907	R11041;R11051;R05518;R06433;R11042
M00800	dTDP_L_megosamine_biosynthesis	K16435;K16436;K13326;K16438;K13322	C12318;C06620;C21073;C21074;C11907;C11919	R11045;R05518;R06631;R11047;R11046
M00801	dTDP_L_olivose_biosynthesis	K16435;K13327;K19858;K13319	C06620;C11922;C11927;C11920;C11907	R05526;R06434;R08597;R05518
M00802	dTDP_D_forosamine_biosynthesis	K16435;K13327;K13328;K13329;K13330	C06620;C18034;C11922;C18032;C18033;C11907	R08931;R05518;R08932;R08930;R05526
M00803	dTDP_D_angolosamine_biosynthesis	K16435;K19859;K16436;K13332	C06620;C18029;C18031;C11907;C18030	R08929;R08927;R05518;R08928
M00804	Complete_nitrification_comammox_ammonia_nitrite_nitrate	K10944;K10945;K10946;K10535;K00370;K00371	C00192;C00014;C00244;C00088	R10164;R00798;R00148
M00805	Staurosporine_biosynthesis_tryptophan_staurosporine	K20075;K20076;K20077;K20078;K20079;K20080;K20081;K20082	C21125;C02079;C07349;C21126;C21124;C00078;C21128;C21127	R11123;R11122;R11120;R11119;R11121;R05757;R11129
M00808	Violacein_biosynthesis_tryptophan_violacein	K20086;K20087;K20088;K20089;K20090	C21136;C21134;C21124;C21135;C00078;C21131	R11134;R11131;R11136;R11119;R11135
M00810	Nicotine_degradation_pyridine_pathway_nicotine_2_6_dihydroxypyridine_succinate_semialdehyde	K19818;K19819;K19820;K19826;K19890;K19185;K19186;K19187;K19188;K20155	C01056;C01297;C03043;C00232;C16386;C15987;C21075;C00745;C15986;C03056	R10101;R11048;R11050;R02860;R11049;R07514;R07946;R07515
M00811	Nicotine_degradation_pyrrolidine_pathway_nicotine_succinate_semialdehyde	K20169;K20170;K20158;K19700;K20171;K20172;K15359;K18276	C20361;C19567;C19569;C21154;C19631;C16150;C00232;C01059	R11175;R11179;R11178;R09472;R11176;R10103;R10105
M00814	Acarbose_biosynthesis_sedoheptulopyranose_7P_acarbose	K19969;K19979;K19974;K20424;K20425;K20426;K20427;K20430	C17693;C17691;C21208;C21206;C21207;C04268;C21204;C17692;C21156;C21205;C20956;C06802	R11305;R11246;R11185;R11248;R11081;R11243;R11245;R10937;R11247;R11244
M00815	Validamycin_A_biosynthesis_sedoheptulopyranose_7P_validamycin_A	K19969;K20431;K20432;K20433;K20434;K20435;K20436;K20437;K20438	C17691;C21219;C17700;C17697;C12112;C21368;C17696;C21216;C21218;C20956;C17694	R11238;R11241;R11079;R11240;R11234;R11233;R11236;R11497;R10937
M00819	Pentalenolactone_biosynthesis_farnesyl_PP_pentalenolactone	K12250;K15907;K18056;K17747;K18091;K18057;K17476	C19939;C00448;C20407;C20404;C01841;C20403;C20400;C20397;C20399	R09814;R10156;R10157;R11315;R10145;R02305;R10154;R10162
M00823	Chlortetracycline_biosynthesis_pretetramide_chlortetracycline	K14251;K14252;K14253;K14254;K14255;K14256;K21301;K14257;K21297	C06629;C03206;C18295;C06571;C06627;C06628;C02811;C06654;C06570	R09191;R11478;R05462;R09189;R04060;R05459;R09190;R05463;R09197
M00824	9_membered_enediyne_core_biosynthesis_malonyl_CoA_3_hydroxyhexadeca_4_6_8_10_12_14_hexaenoyl_ACP_9_membered_enediyne_core	K15314;K21160;K21161;K21162;K21163;K21164;K21165;K21166;K21167		
M00825	10_membered_enediyne_core_biosynthesis_malonyl_CoA_3_hydroxyhexadeca_4_6_8_10_12_14_hexaenoyl_ACP_10_membered_enediyne_core	K15314;K21168;K21169;K21170;K21171;K21172;K21173;K21174		
M00826	C_1027_benzoxazolinate_moiety_biosynthesis_chorismate_benzoxazolinyl_CoA	K20159;K21175;K20156;K21176;K21177;K21178;K21179	C21307;C11468;C00251;C21306;C19686;C11448;C18054	R11364;R11365;R11362;R09559;R08956;R11363
M00827	C_1027_beta_amino_acid_moiety_biosynthesis_tyrosine_3_chloro_4_5_dihydroxy_beta_phenylalanyl_PCP	K21183;K21181;K21182;K16431;K21184;K21185	C11449;C21308;C20810;C21309;C00082	R11367;R11366;R11368;R10731
M00828	Maduropeptin_beta_hydroxy_acid_moiety_biosynthesis_tyrosine_3_4_hydroxyphenyl_3_oxopropanoyl_PCP	K21183;K21181;K21182;K21188	C21308;C21309;C00082;C21311	R11367;R11366;R11369
M00829	3_6_Dimethylsalicylyl_CoA_biosynthesis_malonyl_CoA_6_methylsalicylate_3_6_dimethylsalicylyl_CoA	K15320;K21191;K21192	C21313;C00083;C21312;C02657	R11370;R07253;R11371
M00830	Neocarzinostatin_naphthoate_moiety_biosynthesis_malonyl_CoA_2_hydroxy_5_methyl_1_naphthoate_2_hydroxy_7_methoxy_5_methyl_1_naphthoyl_CoA	K20422;K20420;K20421;K20423	C20841;C00083;C20856;C20857;C20842	R10963;R10771;R10796;R11125
M00831	Kedarcidin_2_hydroxynaphthoate_moiety_biosynthesis_malonyl_CoA_3_6_8_trihydroxy_2_naphthoate_3_hydroxy_7_8_dimethoxy_6_isopropoxy_2_naphthoyl_CoA	K21221;K21222;K21223;K21224;K21225	C21324;C21322;C21320;C21323;C21321	R11388;R11390;R11389;R11387
M00832	Kedarcidin_2_aza_3_chloro_beta_tyrosine_moiety_biosynthesis_azatyrosine_2_aza_3_chloro_beta_tyrosyl_PCP	K21183;K21227;K21228;K16431;K21185	C21328;C21325;C21326;C21327	R11391;R11393;R11392
M00833	Calicheamicin_biosynthesis_calicheamicinone_calicheamicin	K21254;K21255;K21256;K21257;K21258;K21259;K21260;K21261;K21262;K21263	C21345;C00083;C11469;C21344;C21338;C21339;C21340;C21343;C21346;C21341;C21337;C21342;C21347	R11416;R11417;R11412;R11419;R11423;R11421;R11420;R11415;R11422;R11414;R11413;R11418
M00834	Calicheamicin_orsellinate_moiety_biosynthesis_malonyl_CoA_orsellinate_ACP_5_iodo_2_3_dimethoxyorsellinate_ACP	K21254;K21255;K21256;K21257;K21258	C21345;C00083;C21344;C21343;C21346;C21347	R11416;R11412;R11415;R11414;R11413
M00835	Pyocyanine_biosynthesis_chorismate_pyocyanine	K13063;K20261;K06998;K20260;K20262;K21103;K20940	C20981;C21442;C00251;C19831;C01748;C21473;C21411;C19830;C21412;C18054;C21295;C21408	R11569;R11463;R09707;R11568;R11570;R11491;R11577;R11533;R11346;R11576;R08956
M00836	Coenzyme_F430_biosynthesis_sirohydrochlorin_coenzyme_F430	K22011;K22012;K21610;K21611;K21612	C21512;C21511;C05778;C21510;C05777	R11626;R11627;R11629;R11628
M00837	Prodigiosin_biosynthesis_L_proline_prodigiosin	K21780;K21781;K21782;K21783;K21784;K21785;K21786;K21428;K21778;K21779;K21787	C21139;C12470;C21569;C21571;C21138;C21565;C21568;C21567;C21572;C00148;C21570;C12483	R11667;R11668;R11661;R11670;R11662;R06746;R11669;R11672;R11141;R11665;R06747
M00838	Undecylprodigiosin_biosynthesis_L_proline_undecylprodigiosin	K21780;K21781;K21782;K21783;K21784;K21785;K21786;K21791;K21792;K21793;K21787	C05223;C12470;C21569;C21573;C21568;C02679;C21567;C00148;C12023;C21574;C21570;C12483	R11667;R11668;R11663;R11670;R11664;R06746;R11669;R04014;R11673;R11666;R11665;R06747
M00840	Tetrahydrofolate_biosynthesis_mediated_by_ribA_and_trpF_GTP_THF	K14652;K22100;K01633;K13941;K22099;K00287	C00044;C01304;C05925;C04807;C01300;C04874;C00101;C00415;C00921	R03504;R02237;R03066;R03503;R03067;R00939;R11072;R04621;R00936;R00425
M00841	Tetrahydrofolate_biosynthesis_mediated_by_PTPS_GTP_THF	K01495;K22101;K13941;K11754;K13998	C04895;C05923;C00044;C06148;C04807;C05922;C01300;C00101;C00415;C00921	R05046;R02237;R00428;R04639;R03066;R03503;R03067;R00939;R05048;R11719;R00936
M00842	Tetrahydrobiopterin_biosynthesis_GTP_BH4	K01495;K01737;K00072	C03684;C04895;C05923;C00044;C00272;C06148;C05922	R05046;R00428;R04639;R04286;R05048;R08208
M00843	L_threo_Tetrahydrobiopterin_biosynthesis_GTP_L_threo_BH4	K01495;K01737;K17745	C03684;C04895;C05923;C00044;C06148;C05922;C20264	R09990;R05046;R00428;R04639;R04286;R05048
M00844	Arginine_biosynthesis_ornithine_arginine	K00611;K01940;K01755;K14681	C00077;C00169;C00062;C03406;C00327;C00122;C00049	R01954;R01086;R01398
M00845	Arginine_biosynthesis_glutamate_acetylcitrulline_arginine	K22478;K00145;K00821;K09065;K01438;K01940;K01755	C00169;C00062;C00025;C00327;C03406;C15532;C01250;C04133;C00624;C00122;C00049;C00437	R00259;R09107;R02283;R01954;R01086;R07245;R03443;R02649
M00846	Siroheme_biosynthesis_glutamyl_tRNA_siroheme	K02492;K01845;K01698;K01749;K01719;K13542;K13543;K02302;K00589;K02303;K02496;K13542;K13543;K02304;K24866;K03794	C00430;C00931;C02987;C01024;C03741;C05778;C00748;C01051;C02463	R02272;R00036;R02864;R03947;R04109;R00084;R03165;R03194
M00847	Heme_biosynthesis_archaea_siroheme_heme	K22225;K22226;K22227;K25033	C21284;C21835;C00032;C00748	R12001;R11522;R12002;R12000
M00848	Aurachin_biosynthesis_anthranilate_aurachin_A	K09460;K02078;K14245;K14246;K22798;K22799;K22800;K21272;K21271;K22801;K22802	C21330;C21874;C21141;C21875;C21140;C00108;C21873;C10641;C02247	R12053;R12051;R12052;R12050;R12049;R11149;R12054;R00982;R11382;R11383
M00849	C5_isoprenoid_biosynthesis_mevalonate_pathway_archaea	K00626;K01641;K00021;K00054;K00869;K17942;K25517;K09128;K25518;K03186;K18689;K18690;K22813;K06981;K01823	C00332;C00129;C00235;C22453;C20847;C20848;C01107;C20345;C00356;C00418;C00024	R10780;R12895;R10093;R10779;R00238;R02081;R01123;R10781;R02245;R02082;R12894;R01978;R10561
M00854	Glycogen_biosynthesis_glucose_1P_glycogen_starch	K00963;K00693;K00750;K16150;K16153;K13679;K20812;K00975;K00703;K13679;K20812;K00700;K16149	C00718;C00498;C00029;C00369;C00103	R00292;R02110;R00289;R00948;R02421
M00855	Glycogen_degradation_glycogen_glucose_6P	K00688;K16153;K01196;K00705;K22451;K02438;K01200;K15779;K01835;K15778	C00369;C00103;C00092	R08639;R02111
M00861	beta_Oxidation_peroxisome_VLCFA	K00232;K12405;K07513;K08764	C16376;C16388;C16168;C16169;C16173;C16375;C16387;C16374;C16172;C16389	R07935;R07934;R07937;R07951;R07950;R07953;R07952;R07936
M00862	beta_Oxidation_peroxisome_tri_dihydroxycholestanoyl_CoA_choloyl_chenodeoxycholoyl_CoA	K10214;K12405;K08764	C15614;C05460;C17343;C05467;C01794;C17346;C05449;C05337;C05448;C05447	R04812;R08740;R04813;R03719;R04810;R04809;R04811;R08735
M00866	KDO2_lipid_A_biosynthesis_Raetz_pathway_non_LpxL_LpxM_type	K00677;K02535;K16363;K02536;K03269;K09949;K00748;K00912;K02527;K02517;K09778		
M00867	KDO2_lipid_A_modification_pathway	K12977;K03760;K23082;K23083;K23159;K09953	C21996;C21998;C21997;C21988;C21994;C21995	R12203;R12204;R12201;R12202;R12219
M00868	Heme_biosynthesis_animals_and_fungi_glycine_heme	K00643;K01698;K01749;K01719;K01599;K00228;K00231;K01772	C00430;C00931;C01024;C00037;C00032;C03263;C01079;C01051;C02191	R00036;R03197;R03222;R03220;R03165;R00084;R00310;R00830
M00872	O_glycan_biosynthesis_mannose_type_core_M3	K00728;K18207;K09654;K17547;K21031;K19872;K19873;K21052;K21032;K09668	C02189;C00063;C00789;C01068	R12296;R12294;R12297;R07620;R12292;R12295;R12298;R12244;R02921;R11407;R12293
M00873	Fatty_acid_biosynthesis_in_mitochondria_animals	K18660;K03955;K00645;K09458;K11539;K13370;K22540;K07512		
M00874	Fatty_acid_biosynthesis_in_mitochondria_fungi	K11262;K03955;K00645;K09458;K00059;K22541;K07512		
M00875	Staphyloferrin_B_biosynthesis_L_serine_staphyloferrin_B	K23371;K21949;K21721;K23372;K23373;K23374;K23375	C22072;C22075;C22074;C00065;C21559;C03401;C22073;C01005	R12311;R11705;R12309;R12312;R12308;R12344;R11655
M00876	Staphyloferrin_A_biosynthesis_L_ornithine_staphyloferrin_A	K21898;K23446;K23447	C00077;C00515;C22101;C22102	R12354;R00672;R12353
M00877	Kanosamine_biosynthesis_glucose_6_phosphate_kanosamine	K18652;K18653;K18654	C12212;C20668;C12213;C00092	R10698;R10519;R10547
M00878	Phenylacetate_degradation_phenylaxetate_acetyl_CoA_succinyl_CoA	K01912;K02609;K02610;K02611;K02612;K02613;K15866;K02618;K02615;K01692;K00074	C14144;C19946;C19945;C14145;C02232;C07086;C19975;C20062;C00582;C00091;C00024	R09820;R02539;R09838;R06941;R09839;R06942;R09836;R00829;R09837
M00879	Arginine_succinyltransferase_pathway_arginine_glutamate	K00673;K01484;K00840;K06447;K05526	C03296;C00062;C00025;C03415;C05932;C05931	R04217;R05049;R04189;R00411;R00832
M00880	Molybdenum_cofactor_biosynthesis_GTP_molybdenum_cofactor	K03639;K03637;K20967;K03635;K21142;K03831;K03638;K03750;K15376	C18237;C00044;C18239;C05924;C19848;C21310	R09394;R09395;R11372;R09735;R09726
M00881	Lipoic_acid_biosynthesis_plants_and_bacteria_octanoyl_ACP_dihydrolipoyl_E2_H	K03801;K03644	C05752;C02972;C22160;C15973;C22159	R12423;R12427;R12424;R12428
M00882	Lipoic_acid_biosynthesis_eukaryotes_octanoyl_ACP_dihydrolipoyl_H	K23735;K03644	C05752;C22159;C02972	R12428;R12424
M00883	Lipoic_acid_biosynthesis_animals_and_bacteria_octanoyl_ACP_dihydrolipoyl_H_dihydrolipoyl_E2	K23735;K23734;K03644;K10105;K16869	C05752;C22159;C02972;C15973	R12428;R12424;R12432
M00884	Lipoic_acid_biosynthesis_octanoyl_CoA_dihydrolipoyl_E2	K23750;K03644	C15973;C01944;C22160	R12423;R12431
