entry	name	definition	c_number	r_number
M00085	Fatty_acid_elongation_in_mitochondria	K07508;K07509;K00022;K07511;K07515;K07512	C05264;C05262;C05272;C05268;C01832;C05260;C01944;C02593;C05259;C00264;C05276;C05271;C05269;C05267;C05273;C00640;C00154;C05261;C05263;C05270;C00040;C00024;C05266;C05275;C00136;C05265;C00658;C05274;C05258;C03221	R04749;R04739;R02685;R04746;R03856;R07162;R04740;R04170;R04748;R04742;R03989;R04753;R00391;R04744;R06985;R01177;R04737;R01278;R04738;R03991;R04745;R01778;R03858;R03778;R04741;R04743;R04747;R03776
M00086	beta_Oxidation_acyl_CoA_synthesis	K01897;K15013	C00249;C00154	R01280
M00087	beta_Oxidation	K00232;K00249;K00255;K06445;K09479;K01692;K07511;K13767;K00022;K07516;K01825;K01782;K07514;K07515;K10527;K00632;K07508;K07509;K07513	C05264;C05262;C05272;C05268;C01832;C05260;C00877;C01944;C02593;C05259;C01144;C05276;C05271;C05269;C05273;C05267;C00154;C05261;C05263;C05270;C00024;C00332;C05266;C05275;C00136;C05265;C05274;C05258;C03221	R04749;R00238;R04751;R04739;R04746;R01279;R04740;R04170;R01175;R04742;R04748;R03777;R03026;R04744;R01177;R04737;R04738;R03990;R03991;R04745;R04754;R03858;R03857;R01975;R03778;R04741;R04743;R04747
M00088	Ketone_body_biosynthesis_acetyl_CoA_acetoacetate_3_hydroxybutyrate_acetone	K00626;K01641;K01640;K00019;K01574	C00332;C00164;C01089;C00356;C00207;C00024	R01361;R00238;R01366;R01360;R01978
M00089	Triacylglycerol_biosynthesis	K00629;K13506;K13507;K00630;K13508;K00655;K13509;K13523;K19007;K13513;K13517;K13519;K14674;K22831;K01080;K15728;K18693;K11155;K11160;K14456;K22848;K22849	C00422;C00416;C00681;C00093;C00641	R02251;R02241;R02239;R00851
M00090	Phosphatidylcholine_PC_biosynthesis_choline_PC	K00866;K14156;K00968;K00994;K13644	C00157;C00114;C00588;C00307	R01890;R01321;R01021
M00091	Phosphatidylcholine_PC_biosynthesis_PE_PC	K00551;K16369;K00550;K00570	C01241;C00157;C04308;C00350	R03424;R02056;R01320
M00092	Phosphatidylethanolamine_PE_biosynthesis_ethanolamine_PE	K00894;K14156;K00967;K00993;K13644	C00350;C00570;C00346;C00189	R01468;R02057;R02038
M00093	Phosphatidylethanolamine_PE_biosynthesis_PA_PS_PE	K00981;K00998;K17103;K01613	C00350;C00269;C02737;C00416	R01799;R02055;R01800
M00094	Ceramide_biosynthesis	K00654;K04708;K04709;K04710;K24621;K24622;K23727;K04712	C00195;C00065;C02934;C12126;C00836;C00154	R01281;R06517;R02978;R06519
M00095	C5_isoprenoid_biosynthesis_mevalonate_pathway	K00626;K01641;K00021;K00869;K00938;K13273;K01597;K01823	C00332;C00129;C00235;C01143;C01107;C00356;C00418;C00024	R00238;R01123;R03245;R02245;R02082;R01121;R01978
M00096	C5_isoprenoid_biosynthesis_non_mevalonate_pathway	K01662;K00099;K00991;K12506;K00919;K01770;K12506;K03526;K03527;K01823	C11811;C11436;C11437;C00022;C11434;C00129;C00235;C00118;C11435;C11453	R05633;R01123;R05637;R05636;R08689;R10859;R05884;R05688;R05634
M00097	beta_Carotene_biosynthesis_GGAP_beta_carotene	K02291;K02293;K15744;K00514;K09835;K06443	C19759;C05435;C05421;C15857;C03427;C00353;C05432;C02094;C19764;C15858;C19765	R09655;R09658;R05341;R02065;R09653;R04218;R09656;R03824;R07512;R09654
M00098	Acylglycerol_degradation	K01046;K12298;K16816;K13534;K14073;K14074;K14075;K14076;K22283;K14452;K22284;K14674;K14675;K17900;K01054;K25824	C01885;C00116;C00422;C00641	R02687;R02250;R01351
M00099	Sphingosine_biosynthesis	K00654;K04708;K04709;K04710;K24621;K24622;K23727;K04712;K01441;K12348;K12349	C00319;C00195;C02934;C12126;C00836;C00154	R02978;R06517;R01281;R01494;R06519
M00100	Sphingosine_degradation	K04718;K01634	C06124;C00346;C00319	R01926;R06516
M00101	Cholesterol_biosynthesis_squalene_2_3_epoxide_cholesterol	K01852;K05917;K00222;K19532;K07750;K07748;K13373;K09828;K01824;K00227;K00213	C22136;C00187;C11455;C01189;C15816;C01164;C22112;C05108;C05437;C01054;C03845;C01724;C05103;C15808	R05640;R07498;R03199;R12405;R12404;R07495;R03353;R07215;R01456;R07494;R12403;R01451;R05639;R07509
M00102	Ergocalciferol_biosynthesis_squalene_2_3_epoxide_ergosterol_ergocalciferol	K01852;K05917;K00222;K07750;K07748;K09827;K00559;K09829;K00227;K09831;K00223	C22136;C05441;C05440;C11455;C04525;C15777;C15816;C22112;C05108;C05437;C15780;C01054;C01724;C01694;C05103;C15808	R07491;R05640;R03199;R12405;R12404;R07495;R07494;R07506;R12403;R05641;R07497;R04427;R03677;R05639;R07509
M00103	Cholecalciferol_biosynthesis	K07419;K07438	C01561;C01164;C05443;C01673	R03311;R03611;R03610
M00104	Bile_acid_biosynthesis_cholesterol_cholate_chenodeoxycholate	K00489;K12408;K07431;K00251;K00037;K00488;K08748;K01796;K10214;K12405;K08764;K11992	C02528;C00187;C17343;C17346;C05451;C15613;C05460;C04554;C03594;C05449;C04722;C05448;C05447;C05444;C05446;C05453;C17339;C01301;C05467;C01794;C15614;C05452;C05445;C00695;C05455;C05454;C17345;C05337	R04824;R03719;R08760;R04810;R07296;R04823;R04826;R04263;R04812;R01463;R04806;R08735;R03974;R08740;R04813;R08761;R04809;R08759;R08734;R04807;R04818;R04819;R04825;R04817;R08733;R08739;R08758;R08738;R04811
M00106	Conjugated_bile_acid_biosynthesis_cholate_taurocholate_glycocholate	K08748;K00659	C05122;C01921;C00695;C01794	R03720;R03718;R02794
M00107	Steroid_hormone_biosynthesis_cholesterol_pregnenolone_progesterone	K00498;K00070	C00187;C01953;C05502;C00410;C05500;C05501	R03933;R02723;R02216;R01454;R04855;R04854
M00108	C21_Steroid_hormone_biosynthesis_progesterone_corticosterone_aldosterone	K00513;K00497;K07433;K07433	C01124;C03205;C00410;C02140;C01780	R02213;R03263;R03262;R03851
M00109	C21_Steroid_hormone_biosynthesis_progesterone_cortisol_cortisone	K00512;K00513;K00497;K15680;K00071	C00735;C01176;C00410;C00762;C05488	R02843;R02834;R03326;R02836;R02211
M00110	C19_C18_Steroid_hormone_biosynthesis_pregnenolone_androstenedione_estrone	K00512;K00070;K07434	C05290;C05297;C05138;C01953;C00280;C01227;C00468	R08517;R02351;R01840;R04759;R03783;R01837
M00112	Tocopherol_tocotorienol_biosynthesis_homogentisate_phytyl_geranylgeranyl_PP_tocopherol_tocotorienol	K09833;K12502;K18534;K09834;K05928	C05427;C15882;C02483;C02477;C15883;C14151;C00353;C14154;C00544;C20738;C14153;C14152;C14155;C20737;C14156	R10623;R07502;R07503;R10492;R07501;R07236;R10491;R07500;R07504;R10710;R10624;R10708
M00113	Jasmonic_acid_biosynthesis	K00454;K01723;K10525;K05894;K10526;K00232;K10527;K07513	C16336;C16328;C16335;C16327;C16330;C06427;C04672;C04780;C16334;C16339;C16332;C16338;C16317;C16331;C04785;C01226	R07898;R03401;R07890;R07902;R07894;R07888;R07895;R07893;R07887;R07891;R07869;R07892;R07896;R07899;R07897;R03402;R07889;R07863
M00114	Ascorbate_biosynthesis_plants_fructose_6P_ascorbate	K01809;K17497;K00966;K10046;K14190;K10047;K17744;K00225	C00275;C00072;C00636;C01825;C00085;C15926;C00096;C01115;C02280	R07674;R00772;R00889;R07678;R07675;R00885;R01818;R00640
M00115	NAD_biosynthesis_aspartate_quinolinate_NAD	K00278;K06989;K03517;K00767;K00969;K06210;K01916;K01950	C05840;C00857;C01185;C00049;C03722;C00003	R00257;R03005;R04292;R00481;R00189;R07407;R03348;R07410
M00116	Menaquinone_biosynthesis_chorismate_polyprenyl_PP_menaquinol	K02552;K02551;K08680;K02549;K01911;K01661;K19222;K02548;K03183	C00885;C05817;C00251;C05819;C03657;C19847;C02730;C16519;C05847;C03160;C15547	R07263;R08166;R01717;R04031;R09736;R08165;R10757;R07262;R04030
