GeneID	SH-CON-1	SH-CON-2	SH-CON-3	SH-CON-4	SH-CON-5	SH-NAC-1	SH-NAC-2	SH-NAC-3	SH-NAC-4	SH-NAC-5	SH-H-1	SH-H-2	SH-H-3	SH-H-4	SH-H-5	SH-10-1	SH-10-2	SH-10-3	SH-10-4	SH-10-5	SH-100-1	SH-100-2	SH-100-3	SH-100-4	SH-100-5	SH-103-1	SH-103-2	SH-103-3	SH-103-4	SH-103-5
C04056	21253610	17485575	14261081	15964167	24862504	24691270	18089272	17722878	18376857	10593216	10595150	15689539	16075553	23914539	14941620	4002355	8611144	7650667	14302249	9338891	9301974	18049018	16745870	8203939	26714465	29350634	122323394	24213603	32389365	22692917
C14828	5572643	2899867	2609632	5635047	4898640	3075369	2207222	2007493	1988467	2149194	1265322	1075820	1672209	2099310	1208277	1688040	1926697	1766853	1861207	3410908	1720192	2206451	1960160	1038279	1802845	1930786	1285081	1565621	2261916	1797197
C00427	12563550	12525455	12543338	12598198	13368190	6794196	7075107	6748203	6908539	7674712	3163432	3463519	3607168	3440424	3004088	5784503	5087783	5646863	10536918	6131461	2904779	2733464	2897117	3204103	3350756	5352191	4796076	5433113	6709104	5796320
C03017	3680885	3582860	5027667	4108435	5565363	8609074	8634441	7177788	8507262	8343685	6538242	6252433	5627640	6510223	5596983	8535655	8948605	9075408	8949124	9681482	27305262	26588981	28885345	26460832	26907088	4764849	4588513	5270258	3988486	4436810
C08277	4766903	5411067	4741797	6614655	5610489	3360665	4645332	3986705	4445297	4887904	5186615	6780562	6078270	6033805	5677309	3940918	3885869	4156117	4125724	4351026	5272415	5490433	5404229	5417501	5796904	6655761	7276003	8437372	8097925	8241588
C17715	32847556	160268545	95230414	165797665	155635553	154703306	145315434	90369538	32396746	59324196	154224758	175338719	63464082	145628474	165274244	161131080	111087116	72331138	66722618	96579036	144956423	35970676	90583377	139438756	124120191	36462382	33037356	35340712	77176739	37212823
C01530	14142192	11974050	2593568	9607146	13018984	2431508	12974790	6673177	5959414	2434944	2650423	2693895	12689147	6258944	13906758	2619115	2528662	2466440	12035565	5160326	5796478	12982162	2387452	2520392	2487929	2765492	2991971	2675856	14663827	2645890
C08278	5192097	5114293	3914357	4720791	4952386	3068521	7457211	4661587	7231915	3883254	3767073	3805508	3450289	3559578	4328755	2953792	8290148	1867775	2286321	6524602	1504022	1420294	2324883	3203296	2047277	1778929	2536679	2016035	701737	2829947
C06424	10329432	10094567	9403247	10008425	10212387	9748263	9951358	10561673	10089589	9706756	10625265	10180021	10373782	9770928	10962526	9642516	9942893	10295021	10084267	9240330	10719921	10371998	10112582	10733619	9870714	11565890	9927451	10294613	10884340	10473667
C01601	417398714	433131559	412839604	435800124	420686171	399665960	419778749	408867658	417601718	412956492	414000029	409540614	415486779	423369491	419122545	391511407	397955834	415680318	402832643	400947449	396553231	407736553	402565160	393769877	376706969	385502921	411533468	437141215	403923148	434886283
