KEGG	SH-CON_vs_SH-H_p	SH-CON_vs_SH-H_fc	SH-NAC_vs_SH-H_p	SH-NAC_vs_SH-H_fc	SH-10_vs_SH-H_p	SH-10_vs_SH-H_fc	SH-100_vs_SH-H_p	SH-100_vs_SH-H_fc	SH-103_vs_SH-H_p	SH-103_vs_SH-H_fc	SH-100_vs_SH-NAC_p	SH-100_vs_SH-NAC_fc	SH-100_vs_SH-CON_p	SH-100_vs_SH-CON_fc	SH-100_vs_SH-10_p	SH-100_vs_SH-10_fc
C00148	0.644419334639858	1.31686537785327	0.268302819041156	4.19306369784004	0.059065075132539	2.45309323461739	0.0134722448894089	2.36094363039739	0.209430241932606	2.55885361102925	0.501637227811553	0.563059328579618	0.141434461938406	1.79285116770717	0.881572977921563	0.962435343704179
C00123	2.10865738309776e-08	1.26211663491072	8.79417472028043e-07	1.53400341456356	9.94034447958427e-07	1.50559295630142	1.21910759067021e-08	1.24384020065946	1.88108011988349e-11	0.626668568058853	3.82652898479655e-05	0.810845783556062	0.0760396017465496	0.9855192192657	5.40174774521522e-05	0.826146399963926
C00065	2.74575890289489e-07	1.56431336537591	0.00409897281232812	1.23483809394989	0.169065976742955	0.955703858308381	0.0514467882611346	1.16610793546836	6.1460354857783e-05	0.644090621775698	0.399168333245934	0.944340752995652	0.00142927288465391	0.745443950859637	0.0240343553214107	1.220156144951
C00062	0.246273242728996	1.06366464758331	0.000753471815333507	1.39186200488812	0.00115119162241687	1.37131124274792	0.300329475437585	1.0733707765615	3.34135416658178e-05	0.444745875123743	0.00386800667552564	0.771176145905195	0.887628033206105	1.00912517775244	0.00590758368786271	0.782733155757269
C03519	2.89078406208464e-07	1.46059432001399	1.07216338152881e-05	2.48816498885145	2.44889723863167e-07	2.39636747128519	1.09907682306454e-08	1.633063516857	5.97210058253957e-07	0.500183793698949	0.000136182610357496	0.656332487666277	0.000344539107719005	1.11808151961139	7.47301765950794e-06	0.681474580349391
C00183	0.565348133358706	1.28004862763013	0.245244892641865	1.42858465916392	0.0630900054566054	1.77790996231616	0.532062903245803	0.819107872677534	0.029425050860137	0.410570306133244	0.129405295999744	0.573370200655045	0.367790658818208	0.639903715372142	0.033979132815234	0.46071392254895
C00049	4.17564535279509e-07	1.35648998551442	2.11617726764897e-06	0.511193462409802	1.90780022141601e-07	0.536886824666506	0.0278060147938953	0.938059308911627	1.31808962915442e-07	1.99286292938329	1.29376594198186e-06	1.83503776532968	7.34259577162483e-08	0.691534267800647	9.3418457209054e-08	1.74721983444894
C00407	0.0519246346770709	1.48781784573337	0.00956283392224394	1.82851961964958	0.00925892043778598	1.84088300927769	0.894134541971102	1.04532154275415	0.123410913347879	0.628444831234191	0.0463558315909679	0.571676416003934	0.183303630852813	0.70258704434271	0.0444091929941662	0.5678370311888
C00791	0.944517529816369	0.972949944262162	0.73740890272975	0.878927993483161	0.994582036757205	0.997603684566626	0.577234522016785	0.792740002731035	0.0968399921343143	0.37756620365155	0.77867667516915	0.901939645350734	0.600186511994989	0.814779842895422	0.497885219317825	0.794644220941719
C00025	1.24058720102313e-06	1.43340099873702	0.0102930632147051	1.048384985448	0.000103473004146032	1.11095895265449	1.22910176270525e-06	1.20290581335744	1.03888828837896e-08	1.49354855200058	2.84645636520583e-06	1.14738939421514	7.05878828911957e-06	0.839196996805032	0.000191493033217206	1.0827635084836
