c_number	entry	name	definition
C00365	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C00106	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C20231	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C20249	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C01013	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C00222	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C20253	M00939	Pyrimidine_degradation_uracil_3_hydroxypropanoate	K09018;K09024;K09020;K09021;K09023;K09019;K16066
C00223	M00940	Flavanone_biosynthesis_p_coumaroyl_CoA_liquiritigenin	K00660;K08243;K01859
C09762	M00940	Flavanone_biosynthesis_p_coumaroyl_CoA_liquiritigenin	K00660;K08243;K01859
C08650	M00940	Flavanone_biosynthesis_p_coumaroyl_CoA_liquiritigenin	K00660;K08243;K01859
C15567	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C06563	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C09762	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C10208	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C12631	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C00509	M00941	Isoflavone_biosynthesis_liquiritigenin_naringenin_daidzein_genistein	K13257;K13258
C10503	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C00858	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C00786	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C02920	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C10208	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C16187	M00942	Pterocarpan_biosynthesis_daidzein_medicarpin	K13259;K13260;K05281;K13265;K25075
C06160	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C03765	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C05202	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C06161	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C02105	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
C05176	M00943	Reticuline_biosynthesis_dopamine_4HPAA_S_reticuline	K13382;K13383;K13384;K13385;K13386
