	CK0d	Put1d	Put2d	Put3d
TRINITY_DN10208_c0_g1_i2	-0.603209239102498	-0.947900232875353	1.29259122664821	0.258518245329641
TRINITY_DN10214_c1_g1_i5	0.45452368054519	-0.693746670305816	1.18814084914444	-0.948917859383818
TRINITY_DN10226_c0_g1_i4	0.178706614934382	-0.494071229524467	1.31401922745869	-0.998654612868605
TRINITY_DN10227_c0_g1_i2	1.22778371284127	0.00306180477017756	-0.00918541431053354	-1.22166010330091
TRINITY_DN10233_c0_g1_i1	0.322251693317745	0.107417231105915	0.966755079953234	-1.39642400437689
TRINITY_DN10238_c0_g1_i2	-0.274347294976483	-0.553049308920847	1.48060444907943	-0.653207845182103
TRINITY_DN10241_c0_g1_i1	0.230779752821823	0.475688878265391	0.758276330700276	-1.46474496178749
TRINITY_DN10248_c0_g1_i8	0.0727059647899794	-0.101788350705972	1.23600140142965	-1.20691901551366
TRINITY_DN10255_c0_g1_i2	0.576463775311361	-0.18101519514608	0.932924467291334	-1.32837304745662
TRINITY_DN10256_c2_g1_i6	0.708020318551672	-1.38981766234217	0.749977078169548	-0.0681797343790505
TRINITY_DN10292_c0_g1_i4	0.118957737857721	-1.0706196407195	1.30853511643494	-0.356873213573166
TRINITY_DN10299_c0_g1_i9	1.13497486268697	-0.0756649908457961	0.226994972537394	-1.28630484437856
TRINITY_DN10303_c0_g2_i13	0.0570988950448302	-0.378929030752046	1.3444194378737	-1.02258930216648
TRINITY_DN10308_c1_g1_i4	0.462910049886275	0	0.925820099772551	-1.38873014965883
TRINITY_DN10318_c0_g1_i5	1.03322406236426	0.168199265966274	0.168199265966274	-1.36962259429681
TRINITY_DN10321_c0_g1_i7	0.269470826042397	0.619552582952177	0.59191454951193	-1.4809379585065
TRINITY_DN10328_c0_g1_i4	0.353604176397139	-0.62975219986919	1.24266610562423	-0.966518082152179
TRINITY_DN1032_c0_g2_i2	1.40532584770661	-0.221208698250115	-0.221208698250115	-0.962908451206382
TRINITY_DN10330_c0_g2_i1	0.304890335551039	0.671942778350347	0.506177159021627	-1.48301027292301
TRINITY_DN10332_c0_g2_i1	1.38361007514374	-0.953710112127734	-0.0104344651217476	-0.419465497894255
TRINITY_DN1033_c0_g1_i10	0.467557055746505	-0.184848138318385	1.02210147070166	-1.30481038812978
TRINITY_DN10342_c1_g1_i7	0.532527901717336	0.54682395277015	0.41815949329482	-1.49751134778231
TRINITY_DN1035_c0_g1_i8	0.98889936480303	-0.560145794049269	0.684622637171328	-1.11337620792509
TRINITY_DN10369_c0_g1_i10	0.927105069301106	0.14638501094228	0.341565025531987	-1.41505510577537
TRINITY_DN10370_c0_g1_i3	1.29926090614235	-1.07469729273503	0.144362322904705	-0.368925936312026
TRINITY_DN10374_c0_g1_i9	-0.369274472937998	-0.738548945875997	1.47709789175199	-0.369274472937998
TRINITY_DN10376_c1_g1_i6	0.858955690387335	-1.01512945227594	0.858955690387335	-0.702781928498726
TRINITY_DN10391_c0_g1_i6	1.39311493810426	-0.816653584405945	0.0480384461415259	-0.62449979983984
TRINITY_DN10396_c0_g1_i2	1.14682927731391	-0.729800449199763	0.521286035142687	-0.938314863256837
